Brisbane,Broncos,Suncorp Stadium
South Sydney,Rabbitohs,ANZ Stadium
Parramatta,Eels,Pirtek Stadium
Manly-Warringah,Sea Eagles,Brookvale Oval
Newcastle,Knights,Hunter Stadium
New Zealand,Warriors,Mt Smart Stadium
Gold Coast,Titans,Cbus Super Stadium
Wests,Tigers,Campbelltown Stadium
North Queensland,Cowboys,1300 Smiles Stadium
Penrith,Panthers,Pepper Stadium
Cronulla-Sutherland,Sharks,Remondis Stadium
Canberra,Raiders,GIO Stadium
St George-Illawarra,Dragons,Jubilee Oval
Melbourne,Storm,AAMI Park
Canterbury-Bankstown,Bulldogs,ANZ Stadium
Sydney,Roosters,Allianz Stadium
